epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,31.4781,2.19016,2.35689,1.48912,0.72446,0.5872,0.77221,0.29399,1.99028,2.72253,1.46485,0.0005151,0.0005151,0.0005151
27,31.9337,1.65283,2.1761,1.43851,0.72446,0.5872,0.77221,0.29399,1.99028,2.72253,1.46485,0.000514312,0.000514312,0.000514312
28,32.3906,2.4989,2.97231,2.1656,0.72446,0.5872,0.77221,0.29399,1.99028,2.72253,1.46485,0.00051194,0.00051194,0.00051194
29,32.8837,2.54824,3.30725,2.09088,0.72446,0.5872,0.77221,0.29399,1.99028,2.72253,1.46485,0.000507984,0.000507984,0.000507984
30,33.3653,2.35006,2.34246,1.78713,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.000502444,0.000502444,0.000502444
31,33.7669,1.07911,5.65578,0.89861,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.00049532,0.00049532,0.00049532
32,34.1672,1.73624,2.72641,1.82713,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.000486612,0.000486612,0.000486612
33,34.5782,1.64119,1.708,1.33372,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.00047632,0.00047632,0.00047632
34,34.9993,2.39673,3.42486,1.79063,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.000464444,0.000464444,0.000464444
35,35.4216,2.01142,2.74776,1.7802,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.000450984,0.000450984,0.000450984
36,35.8657,1.8869,2.52935,1.35407,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.00043594,0.00043594,0.00043594
37,36.3843,2.343,2.22456,1.62368,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.000419312,0.000419312,0.000419312
38,36.816,1.45006,2.02276,1.20288,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.0004011,0.0004011,0.0004011
39,37.2287,2.49706,3.00836,1.74928,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.000381304,0.000381304,0.000381304
