epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,39.2576,1.07911,5.65578,0.89861,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.00049532,0.00049532,0.00049532
32,39.7686,1.73624,2.72641,1.82713,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.000486612,0.000486612,0.000486612
33,40.1657,1.64119,1.708,1.33372,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.00047632,0.00047632,0.00047632
34,40.5638,2.39673,3.42486,1.79063,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.000464444,0.000464444,0.000464444
35,41.0149,2.01142,2.74776,1.7802,0.86929,0.74225,0.82894,0.35175,1.83516,2.8473,1.41266,0.000450984,0.000450984,0.000450984
36,41.5521,1.8869,2.52935,1.35407,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.00043594,0.00043594,0.00043594
37,42.0399,2.343,2.22456,1.62368,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.000419312,0.000419312,0.000419312
38,42.6146,1.45006,2.02276,1.20288,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.0004011,0.0004011,0.0004011
39,43.0134,2.49706,3.00836,1.74928,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.000381304,0.000381304,0.000381304
40,43.3836,1.03807,5.88014,0.73297,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.000359924,0.000359924,0.000359924
41,57.4715,2.50037,4.08988,1.98247,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.00033696,0.00033696,0.00033696
42,57.9207,2.10771,3.04301,2.14874,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.000312412,0.000312412,0.000312412
43,58.3659,2.31227,5.29338,1.67283,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.00028628,0.00028628,0.00028628
44,58.8236,2.26452,3.49881,1.69659,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.000258564,0.000258564,0.000258564
45,59.2953,2.01409,2.77006,1.54183,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.000229264,0.000229264,0.000229264
46,59.793,2.23795,3.15386,1.49902,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.00019838,0.00019838,0.00019838
47,60.2837,1.39742,2.46528,1.44933,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.000165912,0.000165912,0.000165912
48,60.7593,2.05146,2.40704,1.66462,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.00013186,0.00013186,0.00013186
49,61.3033,2.13993,4.49651,1.62705,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,9.6224e-05,9.6224e-05,9.6224e-05
50,61.7287,1.78133,3.20327,1.69914,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,5.9004e-05,5.9004e-05,5.9004e-05
