epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1062.04,1.1532,0.81149,1.18229,0.87645,0.78961,0.8599,0.55736,1.28443,0.81963,1.30876,0.000312497,0.000312497,0.000312497
43,1084.15,1.13285,0.79544,1.17973,0.87692,0.76793,0.85231,0.54967,1.29235,0.86304,1.30253,0.000307289,0.000307289,0.000307289
44,1109.39,1.12865,0.80068,1.17068,0.8679,0.75714,0.84763,0.55712,1.2933,0.82521,1.30591,0.000302082,0.000302082,0.000302082
45,1134.73,1.10988,0.78155,1.16168,0.83202,0.76803,0.83779,0.54729,1.28315,0.8363,1.32017,0.000296874,0.000296874,0.000296874
46,1159.27,1.12494,0.78727,1.1696,0.82618,0.79006,0.83024,0.5438,1.29142,0.83096,1.32137,0.000291667,0.000291667,0.000291667
47,1185.03,1.11285,0.76332,1.16013,0.81836,0.78613,0.83457,0.54066,1.33005,0.84178,1.3273,0.00028646,0.00028646,0.00028646
48,1210.61,1.10237,0.7673,1.15525,0.82271,0.75858,0.8303,0.53423,1.28187,0.8873,1.29322,0.000281252,0.000281252,0.000281252
49,1233.25,1.11196,0.76794,1.16256,0.86031,0.74876,0.82869,0.54871,1.23947,0.85063,1.276,0.000276045,0.000276045,0.000276045
50,1257.55,1.08632,0.75557,1.14983,0.86852,0.77302,0.84109,0.55167,1.28804,0.84413,1.31159,0.000270837,0.000270837,0.000270837
51,1277.96,1.07441,0.74571,1.14599,0.90015,0.75176,0.8585,0.5713,1.23317,0.78729,1.27988,0.00026563,0.00026563,0.00026563
52,1297.41,1.07364,0.74588,1.14435,0.85972,0.75571,0.84094,0.55896,1.24937,0.79653,1.29066,0.000260423,0.000260423,0.000260423
53,1322.55,1.06712,0.72766,1.13658,0.89493,0.75891,0.83811,0.5522,1.25878,0.83155,1.31511,0.000255215,0.000255215,0.000255215
54,1348.28,1.07033,0.73113,1.14317,0.86704,0.76349,0.84439,0.56935,1.22003,0.80681,1.27619,0.000250008,0.000250008,0.000250008
55,1372.24,1.06976,0.73651,1.13668,0.82596,0.77314,0.81441,0.5466,1.25689,0.82323,1.28559,0.0002448,0.0002448,0.0002448
56,1395.63,1.05472,0.72301,1.13506,0.89855,0.74973,0.84581,0.5569,1.29457,0.82361,1.30197,0.000239593,0.000239593,0.000239593
57,1419.67,1.05193,0.71779,1.13025,0.83877,0.78607,0.84671,0.55522,1.26606,0.82769,1.30665,0.000234386,0.000234386,0.000234386
58,1444.86,1.0508,0.70979,1.13428,0.85094,0.77086,0.83493,0.53779,1.28514,0.87276,1.32777,0.000229178,0.000229178,0.000229178
59,1469.87,1.04002,0.70646,1.11953,0.88595,0.7555,0.84897,0.56568,1.25821,0.79208,1.30093,0.000223971,0.000223971,0.000223971
60,1494.85,1.0392,0.70122,1.119,0.8764,0.76692,0.84334,0.55408,1.27449,0.80542,1.31072,0.000218763,0.000218763,0.000218763
61,1520.23,1.04904,0.70776,1.13169,0.89007,0.78032,0.84619,0.56198,1.24961,0.81632,1.31259,0.000213556,0.000213556,0.000213556
62,1542.67,1.0153,0.68549,1.11711,0.86269,0.77995,0.8378,0.55695,1.30482,0.80777,1.33973,0.000208349,0.000208349,0.000208349
63,1564.72,1.01642,0.67645,1.1113,0.86225,0.7898,0.84666,0.55888,1.28544,0.77037,1.31839,0.000203141,0.000203141,0.000203141
64,1587.39,1.00668,0.66856,1.10561,0.86607,0.78622,0.85584,0.56414,1.29654,0.77782,1.34677,0.000197934,0.000197934,0.000197934
65,1612.74,1.00527,0.67316,1.10409,0.90733,0.75939,0.85637,0.57205,1.28823,0.77495,1.33712,0.000192726,0.000192726,0.000192726
66,1638.27,1.00642,0.6726,1.106,0.89351,0.8032,0.86011,0.57123,1.27356,0.77877,1.32431,0.000187519,0.000187519,0.000187519
67,1663.12,0.99126,0.64618,1.09802,0.89214,0.77023,0.85819,0.57414,1.26224,0.7835,1.31324,0.000182312,0.000182312,0.000182312
68,1688.5,1.00079,0.67323,1.10769,0.8461,0.80023,0.85983,0.56568,1.24881,0.75387,1.32388,0.000177104,0.000177104,0.000177104
69,1713.51,0.98772,0.65252,1.08971,0.87492,0.78395,0.85253,0.56386,1.27955,0.77991,1.34777,0.000171897,0.000171897,0.000171897
70,1738.73,0.98433,0.65542,1.0943,0.86805,0.77462,0.83825,0.56321,1.23755,0.79215,1.30312,0.000166689,0.000166689,0.000166689
71,1764.15,0.98006,0.64644,1.09114,0.85228,0.79061,0.84285,0.5589,1.23978,0.80774,1.29802,0.000161482,0.000161482,0.000161482
72,1789.89,0.95539,0.62782,1.08159,0.88974,0.80326,0.86687,0.57147,1.25829,0.78313,1.33319,0.000156275,0.000156275,0.000156275
73,1815.35,0.96661,0.6328,1.08487,0.83045,0.80451,0.84624,0.56549,1.26542,0.76773,1.32678,0.000151067,0.000151067,0.000151067
74,1841.02,0.95265,0.62498,1.08349,0.87758,0.79153,0.84242,0.55689,1.30094,0.78157,1.35704,0.00014586,0.00014586,0.00014586
